"ID","Entry","Line","Acc","Race","Stock","Geo.class","Elevation.class","Group","Lat","Lon","Elevation","Block","ABS_X","ABS_Y","P_code","P_level","Seed_wt_12k","Mites","Stem","Height","Leaf.Area","Spad","Leaf_FW","Root_FW"
"MZ65032",35,"Mex_17.High","OAXA69","","CIMMYTMA-013920","M","H","M.H",17.45,-97.21666667,2083,1,152,714,"P1",1,2.8,1,0.7,15,189.2,30,6.4,4.55
"MZ65033",120,"SA_9.High","CUZ.351","PISCCO","CIMMYTMA-018242","S","H","S.H",-13.420293,-72.2085,3326,1,162,714,"P1",1,4.43,1,0.6,24,397.3,27.3,15.66,24.8
"MZ65034",137,"AN_17","MICH348","MUSHIT","CIMMYTMA-005599","A","H","A",19.56666667,-102.2666667,2416,1,171,714,"P1",1,3.68,1,0.6,19,297.8,25.5,11.5,11.4
"MZ65035",122,"AN_26","MEXI210","PALOME","CIMMYTMA-001374","A","H","A",18.969351,-99.399159,2445,1,181,714,"P1",1,2.25,0,0.6,21,249.4,32.8,NA,NA
"MZ65036",133,"AN_29","VERA89","CONICO","CIMMYTMA-002336","A","H","A",19.61666667,-97.08333333,2634,1,190,714,"P1",1,2.91,1,0.5,20,297.6,32.2,11,13.6
"MZ65037",91,"SA_21.High","JUN.160","SNJERO","CIMMYTMA-024925","S","H","S.H",-11.904015,-75.321984,3315,1,85,724,"P1",1,5.98,0,0.7,15.5,358.1,29.9,11.6,10.8
"MZ65038",76,"SA_10.High","CHZM01070","HARTAR","CIMMYTMA-014497","S","H","S.H",-19.314057,-69.419454,2430,1,95,724,"P1",1,5.06,0,1.7,19.5,369.4,24.8,14.12,20.25
"MZ65039",92,"SA_21.Low","PERU1124","ENANO","CIMMYTMA-009025","S","L","S.L",-12,-70.25,234,1,104,724,"P1",1,3.03,0,0.6,13.5,374.3,24.1,10.93,9.73
"MZ65040",69,"Mex_8.Low","COLI26","","CIMMYTMA-023180","M","L","M.L",19.33205,-103.731987,720,1,114,724,"P1",1,3.71,0,0.8,21,359,27.1,14,16.9
"MZ65041",13,"C_3","","","CML530","C","N","C",NA,NA,NA,1,123,724,"P1",1,3.86,0,0.8,14,314.9,25.8,9.45,14.17
"MZ65042",47,"Mex_22.High","GUAN333","","CIMMYTMA-013771","M","H","M.H",21.48333333,-101.2166667,2091,1,133,724,"P1",1,3.72,0,0.6,21,384.1,20.3,14.95,16
"MZ65043",25,"Mex_10.Low","OAXA520","ZAPCHI","CIMMYTMA-025027","M","L","M.L",16.478858,-95.001338,28,1,143,724,"P1",1,3.22,0,0.8,17,388.1,25.3,14.63,22.34
"MZ65044",44,"Mex_20.Low","COAH64","TUXPEN","CIMMYTMA-000449","M","L","M.L",28.26979,-100.726374,356,1,152,724,"P1",1,4.43,1,0.6,15,358.6,29.2,12.09,17.13
"MZ65045",81,"SA_14.Low","SNMART111","","CIMMYTMA-014578","S","L","S.L",-8.444628,-76.471549,580,1,162,724,"P1",1,2.91,1,0.8,14.5,448.4,24,13.55,16.81
"MZ65046",67,"Mex_7.High","TLAX525","","CIMMYTMA-026945","M","H","M.H",19.31666667,-97.91666667,2492,1,171,724,"P1",1,3.63,0,0.6,20.5,270.6,28.3,11.78,11.46
"MZ65047",15,"C_3","","","CML530","C","N","C",NA,NA,NA,1,181,724,"P1",1,3.33,0,0.7,15,240.5,22.6,10.53,11.26
"MZ65048",86,"SA_18.Low","BOZM1162","","CIMMYTMA-015086","S","L","S.L",-14.31666667,-67.36666667,189,1,190,724,"P1",1,3.33,1,0.4,6.5,194.2,30.1,5.5,6.66
"MZ65049",117,"SA_8.High","LIB.114","SHAJAT","CIMMYTMA-012342","S","H","S.H",-7.804269,-78.041914,3217,1,85,733,"P1",1,5.31,0,0.6,16.5,285.4,30.9,12.25,19.89
"MZ65050",4,"C_1","","","B73","C","N","C",NA,NA,NA,1,95,733,"P1",1,2.27,0,0.4,10.5,181.9,25.8,5.67,4.46
"MZ65051",55,"Mex_28.Low","SONO115","TABPER","CIMMYTMA-007294","M","L","M.L",28.975149,-109.395459,454,1,104,733,"P1",1,4.91,0,1,20,514,21.2,11.7,16.85
"MZ65052",142,"AN_32","VERA324","CHALQU","CIMMYTMA-005640","A","H","A",19.35,-97.15,2152,1,114,733,"P1",1,3.26,0,0.8,12,339.3,25.8,11.48,11.26
"MZ65053",54,"Mex_26.Low","VERA118","TUXPEN","CIMMYTMA-002345","M","L","M.L",19.855393,-96.708139,372,1,123,733,"P1",1,3.63,0,0.6,19.5,367,36.9,11.38,12.7
"MZ65054",141,"AN_31","VERA321","ARROAM","CIMMYTMA-005638","A","H","A",19.61666667,-97.16666667,2552,1,133,733,"P1",1,2.7,0,NA,NA,NA,NA,NA,NA
"MZ65055",115,"SA_7.High","APUC.169","CHUNCH","CIMMYTMA-012231","S","H","S.H",-13.650254,-72.89971,2154,1,143,733,"P1",1,3.69,1,1.6,19,333.1,25.4,11.35,18.5
"MZ65056",71,"Mex_9.Low","HIDA184","CONICO","CIMMYTMA-020752","M","L","M.L",21.062344,-98.870068,436,1,152,733,"P1",1,3.39,0,0.5,37.5,307.5,31,16.9,12.35
"MZ65057",58,"Mex_29.Low","SINA2","CHAPAL","CIMMYTMA-000861","M","L","M.L",24.824405,-107.460246,46,1,162,733,"P1",1,5.74,1,0.7,15,351.8,22.5,10,13.1
"MZ65058",129,"AN_33","PUEB542","PALOME","CIMMYTMA-016446","A","H","A",19.28333333,-97.33333333,2514,1,171,733,"P1",1,2.24,1,0.7,24.5,257,28.2,11.7,11.4
"MZ65059",5,"C_1","","","B73","C","N","C",NA,NA,NA,1,181,733,"P1",1,2.45,1,0.7,11,214.5,24.1,6.2,5
"MZ65060",14,"C_3","","","CML530","C","N","C",NA,NA,NA,1,190,733,"P1",1,3.65,1,0.5,12,217.1,26.1,7.66,9.52
"MZ65061",64,"Mex_5.Low","NAYA70","TABLON","CIMMYTMA-018888","M","L","M.L",22.417143,-105.46224,11,1,85,743,"P1",1,4.46,0,0.5,5.5,484.4,23.9,14.5,24.6
"MZ65062",93,"SA_22.High","HCO.140","","CIMMYTMA-018244","S","H","S.H",-9.408282,-76.557515,3135,1,95,743,"P1",1,5.48,0,0.5,13.5,287,33.8,8.8,8.6
"MZ65063",105,"SA_29.High","ARZM09063","PISING","CIMMYTMA-024483","S","H","S.H",-23.534009,-65.76493,3488,1,104,743,"P1",1,1.91,1,0.6,22,329.9,23.8,13.8,8.3
"MZ65064",78,"SA_11.High","AREQ.164","","CIMMYTMA-018635","S","H","S.H",-16.471349,-71.47741,2495,1,114,743,"P1",1,6.02,1,0.7,22.5,375.5,26,13.18,16.19
"MZ65065",22,"C_4","","","Mo17","C","N","C",NA,NA,NA,1,123,743,"P1",1,3.3,1,0.5,13,168.3,25,5.7,5.29
"MZ65066",101,"SA_27.Low","ICA42","","CIMMYTMA-016818","S","L","S.L",-14.660126,-75.219284,236,1,133,743,"P1",1,4.03,0,0.4,18,249.3,22.8,8.9,9.6
"MZ65067",42,"Mex_2.High","PUEB 32","CONICO","CIMMYTMA-002276","M","H","M.H",19.83333333,-98.03333333,2325,1,143,743,"P1",1,6.8,1,0.4,24.5,326.3,31.8,14.52,17.91
"MZ65068",53,"Mex_26.High","MEXI193","","CIMMYTMA-018374","M","H","M.H",19.97,-99.52,2418,1,152,743,"P1",1,3.76,1,0.5,32,301.6,32.9,15.6,14.8
