Entry,ID,Code,Acc,Race,Lat,Long,Elevation
85,CIMMYTMA-012290,SA_18.High,CUZ.196,,-13.52122,-73.720696,2813
86,CIMMYTMA-015086,SA_18.Low,BOZM1162,,-14.31666667,-67.36666667,189
87,CIMMYTMA-012291,SA_2.High,HVCA.15,,-12.634544,-74.86529,3263
88,CIMMYTMA-009022,SA_2.Low,PERU1101,PIRICI,-12.623998,-73.094775,751
89,CIMMYTMA-024894,SA_20.High,CAJ.138,,-6.55,-78.65,2391
90,CIMMYTMA-026029,SA_20.Low,LOR.16,,-7.221746,-75.298185,137
91,CIMMYTMA-024925,SA_21.High,JUN.160,SNJERO,-11.904015,-75.321984,3315
92,CIMMYTMA-009025,SA_21.Low,PERU1124,ENANO,-12,-70.25,234
93,CIMMYTMA-018244,SA_22.High,HCO.140,,-9.408282,-76.557515,3135
94,CIMMYTMA-026034,SA_22.Low,PAS.18,,-10.33333333,-74.9,252
95,CIMMYTMA-019738,SA_23.Low,CALD369,,5.32,-74.92,840
96,CIMMYTMA-022843,SA_23.High,BOYA371,SABANE,5.399671,-73.101212,2150
97,CIMMYTMA-012541,SA_24.High,PERU675,,-9.176536,-77.723683,2453
98,CIMMYTMA-008993,SA_24.Low,PERU637,COLORA,-8.597077,-78.732381,14
99,CIMMYTMA-017379,SA_26.Low,ECUA652,,-1.066298,-80.44021,36
100,CIMMYTMA-021797,SA_26.High,ECUA8833,MISHCA,-0.148041,-78.457937,2890
101,CIMMYTMA-016818,SA_27.Low,ICA42,,-14.660126,-75.219284,236
102,CIMMYTMA-024902,SA_27.High,CUZ.290,,-13.950973,-71.744682,3061
103,CIMMYTMA-012440,SA_28.High,PIUR106,,-4.635925,-79.710107,2641
104,CIMMYTMA-026035,SA_28.Low,PIUR152,,-4.872712,-80.711375,49
105,CIMMYTMA-024483,SA_29.High,ARZM09063,PISING,-23.534009,-65.76493,3488
106,CIMMYTMA-026714,SA_29.Low,ARZM07041,PERLIT,-23.78,-61.48,175
107,CIMMYTMA-010248,SA_3.Low,ECUA,,-2.761385,-79.747472,2
108,CIMMYTMA-013311,SA_3.High,ECUAX14210,MEZCLA,-3.620286,-79.237167,2497
109,CIMMYTMA-007876,SA_31.Low,ECUA323,,-1.786495,-79.274037,98
110,CIMMYTMA-028370,SA_31.High,ECUA12675,,-1.180281,-78.559788,2753
111,CIMMYTMA-018676,SA_4.High,BOLI683,,-16.5,-68.15,3929
112,CIMMYTMA-028912,SA_4.Low,BOZM0704,CUBAAM,-17.41666667,-60.66666667,324
113,CIMMYTMA-012085,SA_6.High,ANC.526,,-9.385108,-77.240432,3524
114,CIMMYTMA-014588,SA_6.Low,UCAYAL9,,-9.028934,-75.513495,306
115,CIMMYTMA-012231,SA_7.High,APUC.169,CHUNCH,-13.650254,-72.89971,2154
116,CIMMYTMA-017281,SA_7.Low,BOLI1060,,-14.389555,-65.195133,149
117,CIMMYTMA-012342,SA_8.High,LIB.114,SHAJAT,-7.804269,-78.041914,3217
118,CIMMYTMA-026062,SA_8.Low,SNMART124,,-7.174336,-76.692725,269
119,CIMMYTMA-016832,SA_9.Low,LIM.76,,-12.73333333,-76.46666667,260
120,CIMMYTMA-018242,SA_9.High,CUZ.351,PISCCO,-13.420293,-72.2085,3326
121,CIMMYTMA-013353,AN_19,MICH230,VANDEN,19.469084,-102.06122,1902
122,CIMMYTMA-001374,AN_26,MEXI210,PALOME,18.969351,-99.399159,2445
123,CIMMYTMA-001380,AN_21,MEXI84,CONICO,19.448336,-100.18125,2939
124,CIMMYTMA-001395,AN_22,MEXI66,CHALQU,19.412596,-100.121224,2568
125,CIMMYTMA-001456,AN_13,MICH195,CHALQU,19.66666667,-101.9166667,2430
126,CIMMYTMA-001467,AN_20,MICH52,CONICO,19.652002,-100.593265,2180
127,CIMMYTMA-001531,AN_28,VERA35,PALOME,19.539917,-97.251249,2451
128,CIMMYTMA-016007,AN_24,MEXI103,CONICO,19.353139,-99.796835,2636
129,CIMMYTMA-016446,AN_33,PUEB542,PALOME,19.28333333,-97.33333333,2514
130,CIMMYTMA-016600,AN_23,MEXI250,CHALQU,19.622791,-98.914614,2259
131,CIMMYTMA-019359,AN_25,MEXI386,CONICO,19.03333333,-100.0333333,1956
132,CIMMYTMA-002098,AN_14,MICH414,MUSHIT,19.73333333,-102.0833333,2129
133,CIMMYTMA-002336,AN_29,VERA89,CONICO,19.61666667,-97.08333333,2634
134,CIMMYTMA-005578,AN_8,MICH316,CELAYA,19.33333333,-101.4666667,2233
135,CIMMYTMA-005582,AN_9,MICH320,CONICO,19.423751,-101.559319,2483
136,CIMMYTMA-005589,AN_16,MICH329,CONICO,19.68333333,-101.9666667,2292
137,CIMMYTMA-005599,AN_17,MICH348,MUSHIT,19.56666667,-102.2666667,2416
138,CIMMYTMA-005616,AN_10,MICH374,MUSHIT,19.51666667,-101.7333333,2188
139,CIMMYTMA-005618,AN_11,MICH376,MUSHIT,19.28333333,-101.6333333,2293
140,CIMMYTMA-005626,AN_30,VERA306,ARROAM,19.509446,-97.200757,3017
141,CIMMYTMA-005638,AN_31,VERA321,ARROAM,19.61666667,-97.16666667,2552
142,CIMMYTMA-005640,AN_32,VERA324,CHALQU,19.35,-97.15,2152
143,CIMMYTMA-008072,AN_18,MICH336,TABLON,19.376847,-102.486984,1319
144,CIMMYTMA-009187,AN_22,MICH411,CHALQU,19.518555,-101.219653,2229
